Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,JLC_0805C,79.9361mm,17.1632mm,79.9361mm,17.1632mm,79.0461mm,17.1632mm,B,0,0.1uF
C2,JLC_0805C,79.9361mm,14.7402mm,79.9361mm,14.7402mm,79.0461mm,14.7402mm,B,0,0.1uF
C3,JLC_0805C,80.8181mm,3.4452mm,80.8181mm,3.4452mm,80.8181mm,4.3352mm,B,270,NC/47pF
C4,JLC_0805C,8.3846mm,28.1572mm,8.3846mm,28.1572mm,7.4946mm,28.1572mm,B,0,1uF
C5,JLC_0805C,40.6191mm,27.5042mm,40.6191mm,27.5042mm,39.7291mm,27.5042mm,B,0,1uF
C6,JLC_0805C,40.6191mm,21.6462mm,40.6191mm,21.6462mm,41.5091mm,21.6462mm,B,180,1uF
C7,JLC_0805C,40.6191mm,34.7262mm,40.6191mm,34.7262mm,41.5091mm,34.7262mm,B,180,10nF
C8,JLC_0805C,8.3846mm,20.4622mm,8.3846mm,20.4622mm,7.4946mm,20.4622mm,B,0,10uF
D1,JLC_SOD-123,7.5388mm,91.3031mm,7.5388mm,91.3031mm,9.0138mm,91.3031mm,B,0,1N4148W
D10,JLC_SOD-123,179.0361mm,91.3031mm,179.0361mm,91.3031mm,180.5111mm,91.3031mm,B,0,1N4148W
D11,JLC_SOD-123,198.0911mm,91.3031mm,198.0911mm,91.3031mm,199.5661mm,91.3031mm,B,0,1N4148W
D12,JLC_SOD-123,217.1461mm,91.3031mm,217.1461mm,91.3031mm,218.6211mm,91.3031mm,B,0,1N4148W
D13,JLC_SOD-123,236.2021mm,91.3031mm,236.2021mm,91.3031mm,237.6771mm,91.3031mm,B,0,1N4148W
D14,JLC_SOD-123,264.8401mm,91.3031mm,264.8401mm,91.3031mm,266.3151mm,91.3031mm,B,0,1N4148W
D15,JLC_SOD-123,12.4813mm,72.1666mm,12.4813mm,72.1666mm,13.9563mm,72.1666mm,B,0,1N4148W
D16,JLC_SOD-123,36.2953mm,72.1666mm,36.2953mm,72.1666mm,37.7703mm,72.1666mm,B,0,1N4148W
D17,JLC_SOD-123,55.3431mm,72.1666mm,55.3431mm,72.1666mm,56.8181mm,72.1666mm,B,0,1N4148W
